tournament name,player,date,Putt,Around Green,Approach,On Tee,T2Green,Total,Avg Par,strokes,n_rounds,pos
BMW Championship,Cameron Champ,8/29/2021,-0.16,-0.89,-1.93,0.43,-2.39,-2.55,288,287,4,66
BMW Championship,Carlos Ortiz,8/29/2021,-2.42,-0.37,0.2,0.04,-0.13,-2.55,288,287,4,66
BMW Championship,Kevin Kisner,8/29/2021,-1.86,0.82,-1.04,-0.46,-0.69,-2.55,288,287,4,66
BMW Championship,Phil Mickelson,8/29/2021,0.15,-0.42,-2.31,0.03,-2.7,-2.55,288,287,4,66
BMW Championship,Collin Morikawa,8/29/2021,-1.29,-0.54,0.12,-0.59,-1.01,-2.3,288,286,4,63
BMW Championship,Maverick McNealy,8/29/2021,-1.02,-0.61,-0.64,-0.03,-1.28,-2.3,288,286,4,63
BMW Championship,Max Homa,8/29/2021,-1.74,-0.49,0.18,-0.25,-0.55,-2.3,288,286,4,63
BMW Championship,Keegan Bradley,8/29/2021,-1.53,-0.6,0.65,-0.57,-0.51,-2.05,288,285,4,60
BMW Championship,Robert Streb,8/29/2021,0.2,-0.49,-1.53,-0.22,-2.24,-2.05,288,285,4,60
BMW Championship,Russell Henley,8/29/2021,-0.62,-0.98,-0.2,-0.25,-1.43,-2.05,288,285,4,60
BMW Championship,Keith Mitchell,8/29/2021,-0.33,-0.67,-0.9,0.11,-1.47,-1.8,288,284,4,57
BMW Championship,Ryan Palmer,8/29/2021,-1.22,0.19,-0.47,-0.29,-0.57,-1.8,288,284,4,57
BMW Championship,Talor Gooch,8/29/2021,-0.67,-0.12,-0.69,-0.31,-1.12,-1.8,288,284,4,57
BMW Championship,Billy Horschel,8/29/2021,-0.43,0.23,-1,-0.34,-1.11,-1.55,288,283,4,52
BMW Championship,Branden Grace,8/29/2021,-0.42,0.26,-0.34,-1.04,-1.12,-1.55,288,283,4,52
BMW Championship,Cameron Tringale,8/29/2021,-0.88,0.15,-0.19,-0.62,-0.67,-1.55,288,283,4,52
BMW Championship,Kevin Streelman,8/29/2021,-0.42,0.43,-1.24,-0.32,-1.13,-1.55,288,283,4,52
BMW Championship,Mackenzie Hughes,8/29/2021,0.29,-0.4,-0.58,-0.86,-1.83,-1.55,288,283,4,52
BMW Championship,Marc Leishman,8/29/2021,-0.53,-0.23,-0.76,0.22,-0.77,-1.3,288,282,4,51
BMW Championship,Tom Hoge,8/29/2021,0.05,0.33,-0.92,-0.5,-1.1,-1.05,288,281,4,49
BMW Championship,Xander Schauffele,8/29/2021,-0.27,-0.54,-0.28,0.05,-0.78,-1.05,288,281,4,49
BMW Championship,Chris Kirk,8/29/2021,-1.59,0.34,0.59,-0.13,0.79,-0.8,288,280,4,48
BMW Championship,Emiliano Grillo,8/29/2021,-0.44,-0.57,0.09,0.37,-0.1,-0.55,288,279,4,46
BMW Championship,Hideki Matsuyama,8/29/2021,-0.9,-0.04,0.35,0.04,0.35,-0.55,288,279,4,46
BMW Championship,Charley Hoffman,8/29/2021,0.56,0.08,-0.83,-0.1,-0.85,-0.3,288,278,4,38
BMW Championship,Harry Higgs,8/29/2021,0.12,0.75,-1.46,0.3,-0.41,-0.3,288,278,4,38
BMW Championship,Jhonattan Vegas,8/29/2021,-0.2,-0.53,0.43,0,-0.1,-0.3,288,278,4,38
BMW Championship,Louis Oosthuizen,8/29/2021,-0.64,-0.08,0.56,-0.14,0.35,-0.3,288,278,4,38
BMW Championship,Lucas Glover,8/29/2021,-0.41,0.06,0.01,0.04,0.11,-0.3,288,278,4,38
BMW Championship,Matt Jones,8/29/2021,-0.08,-0.2,-0.27,0.25,-0.22,-0.3,288,278,4,38
BMW Championship,Paul Casey,8/29/2021,-0.18,-0.58,0.1,0.36,-0.12,-0.3,288,278,4,38
BMW Championship,Stewart Cink,8/29/2021,-0.24,0.45,-0.45,-0.06,-0.06,-0.3,288,278,4,38
BMW Championship,Cameron Smith,8/29/2021,-0.23,0.1,0.29,-0.2,0.18,-0.05,288,277,4,34
BMW Championship,Jordan Spieth,8/29/2021,0.2,0.04,0.1,-0.39,-0.25,-0.05,288,277,4,34
BMW Championship,Lee Westwood,8/29/2021,-0.76,0.81,0.62,-0.72,0.71,-0.05,288,277,4,34
BMW Championship,Patton Kizzire,8/29/2021,0.32,0.86,-0.92,-0.31,-0.37,-0.05,288,277,4,34
BMW Championship,Brian Harman,8/29/2021,0.07,0.35,-0.2,-0.02,0.13,0.2,288,276,4,29
BMW Championship,Cameron Davis,8/29/2021,-0.25,0.78,0,-0.33,0.45,0.2,288,276,4,29
BMW Championship,Joaquin Niemann,8/29/2021,-0.89,-0.26,0.98,0.37,1.09,0.2,288,276,4,29
BMW Championship,Sebastian Munoz,8/29/2021,-0.35,0.65,0.33,-0.42,0.56,0.2,288,276,4,29
BMW Championship,Si Woo Kim,8/29/2021,-0.51,0.77,-0.34,0.28,0.71,0.2,288,276,4,29
BMW Championship,Daniel Berger,8/29/2021,-0.84,0.76,0.73,-0.2,1.29,0.45,288,275,4,26
BMW Championship,Harris English,8/29/2021,0.2,0.04,0.19,0.02,0.25,0.45,288,275,4,26
BMW Championship,Shane Lowry,8/29/2021,0.28,-0.02,0.39,-0.19,0.18,0.45,288,275,4,26
BMW Championship,Brooks Koepka,8/29/2021,-0.28,0.03,0.47,0.49,0.99,0.7,288,274,4,22
BMW Championship,Corey Conners,8/29/2021,-0.17,0.77,-0.02,0.12,0.87,0.7,288,274,4,22
BMW Championship,Justin Thomas,8/29/2021,-0.48,0.4,0.52,0.26,1.18,0.7,288,274,4,22
BMW Championship,Scottie Scheffler,8/29/2021,-0.29,0.16,1.02,-0.19,0.99,0.7,288,274,4,22
BMW Championship,Aaron Wise,8/29/2021,0.67,-0.05,0.46,-0.13,0.28,0.95,288,273,4,17
BMW Championship,Charl Schwartzel,8/29/2021,-0.07,0.27,0.51,0.25,1.02,0.95,288,273,4,17
BMW Championship,Hudson Swafford,8/29/2021,1.5,-0.36,0.56,-0.75,-0.55,0.95,288,273,4,17
BMW Championship,Kevin Na,8/29/2021,0.81,0.14,0.74,-0.73,0.14,0.95,288,273,4,17
