,PLAYER NAME,Gr in Reg
0,Aaron Baddeley,-0.29
1,Aaron Wise,-0.2825
2,Abraham Ancer,-0.278
3,Adam Hadwin,-0.2771428571428572
4,Adam Long,-0.2733333333333334
5,Adam Schenk,-0.27
6,Adam Scott,-0.2871428571428572
7,Adam Svensson,-0.26
8,Alex Cejka,-0.252
9,Alex Noren,-0.28750000000000003
10,Alex Prugh,-0.255
11,Anders Albertson,-0.24
12,Andres Gonzales,-0.26
13,Andres Romero,-0.27
14,Andrew Landry,-0.264
15,Andrew Loupe,-0.28500000000000003
16,Andrew Putnam,-0.268
17,Andrew Svoboda,-0.25
18,Andrew Yun,-0.22
19,Anirban Lahiri,-0.2933333333333334
20,Arjun Atwal,-0.24
21,Austin Cook,-0.2725
22,Beau Hossler,-0.29
23,Ben Crane,-0.245
24,Ben Martin,-0.27
25,Ben Silverman,-0.26
26,Ben Taylor,-0.25
27,Bill Haas,-0.23857142857142857
28,Bill Lunde,-0.21
29,Billy Horschel,-0.2742857142857143
30,Billy Hurley III,-0.255
31,Blayne Barber,-0.2625
32,Bo Hoag,-0.25
33,Bo Van Pelt,-0.24
34,Boo Weekley,-0.24666666666666667
35,Brad Fritsch,-0.23
36,Brady Schnell,-0.26
37,Branden Grace,-0.26166666666666666
38,Brandon Hagy,-0.28
39,Brandon Harkins,-0.3
40,Brandt Snedeker,-0.2857142857142857
41,Brendan Steele,-0.26857142857142857
42,Brendon Todd,-0.2775
43,Brendon de Jonge,-0.265
44,Brett Drewitt,-0.22
45,Brett Stegmaier,-0.25
46,Brian Campbell,-0.28
47,Brian Davis,-0.24
48,Brian Gay,-0.28
49,Brian Harman,-0.2871428571428572
50,Brian Stuard,-0.26
51,Brice Garnett,-0.26
52,Bronson Burgoon,-0.272
53,Brooks Koepka,-0.31428571428571433
54,Bryce Molder,-0.26333333333333336
55,Bryson DeChambeau,-0.31800000000000006
56,Bubba Watson,-0.28
57,Bud Cauley,-0.2775
58,Byeong Hun An,-0.266
59,Byron Smith,-0.23
60,C.T. Pan,-0.246
61,Cam Davis,-0.30666666666666664
62,Cameron Champ,-0.2933333333333333
63,Cameron Percy,-0.258
64,Cameron Smith,-0.3066666666666667
65,Cameron Tringale,-0.26857142857142857
66,Camilo Villegas,-0.2725
67,Carl Pettersson,-0.28500000000000003
68,Carlos Ortiz,-0.28600000000000003
69,Chad Campbell,-0.235
70,Chad Collins,-0.24666666666666667
71,Charl Schwartzel,-0.266
72,Charles Howell III,-0.27
73,Charley Hoffman,-0.2885714285714286
74,Charlie Beljan,-0.25
75,Chase Seiffert,-0.275
76,Chase Wright,-0.29
77,Chesson Hadley,-0.2816666666666667
78,Chez Reavie,-0.26285714285714284
79,Chris Baker,-0.22999999999999998
80,Chris Kirk,-0.274
81,Chris Stroud,-0.2733333333333334
82,Cody Gribble,-0.2933333333333334
83,Collin Morikawa,-0.31
84,Colt Knost,-0.265
85,Conrad Shindler,-0.26
86,Corey Conners,-0.26
87,Curtis Luck,-0.28
88,D.A. Points,-0.2425
89,D.H. Lee,-0.26
90,D.J. Trahan,-0.25
91,Daniel Berger,-0.2871428571428572
92,Daniel Summerhays,-0.2875
93,Danny Lee,-0.28
94,Danny Willett,-0.27
95,David Hearn,-0.2571428571428572
96,David Lingmerth,-0.28250000000000003
97,David Toms,-0.22499999999999998
98,Davis Love III,-0.22
99,Dawie van der Walt,-0.26
100,Denny McCarthy,-0.29750000000000004
101,Derek Ernst,-0.215
102,Derek Fathauer,-0.28250000000000003
103,Dicky Pride,-0.24
