,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
0,Aaron Baddeley,6184554960,62.5763.3963.3364.8963.99,642890627549622,10261404990846972,-0.28-0.26-0.30-0.31-0.29
1,Aaron Wise,90724982,68.8168.6072.1070.35,10908525841013,158412428101440,-0.29-0.33-0.24-0.27
2,Abraham Ancer,989374101,66.4966.7966.9769.27,114910588921222,1728158413321764,-0.27-0.29-0.29-0.30
3,Adam Hadwin,9892866590,65.0868.0467.5568.2962.44,11481090997799989,17641602147611701584,-0.28-0.25-0.30-0.27-0.28
4,Adam Long,768887,65.2867.7463.03,8931073953,136815841512,-0.24-0.29-0.29
5,Adam Schenk,8610278110,67.9268.6169.0767.37,97812359201237,1440180013321836,-0.24-0.30-0.27-0.27
6,Adam Scott,5878633872,67.0570.6668.9468.1365.35,700992757466847,1044140410986841296,-0.27-0.25-0.31-0.31-0.32
7,Adam Svensson,73,69.40,837,1206,-0.26
8,Alex Cejka,857758,66.4563.7764.44,921792580,13861242900,-0.22-0.27-0.22
9,Alex Noren,67636086,64.9165.2864.7863.21,701705653933,1080108010081476,-0.28-0.26-0.30-0.31
10,Alex Prugh,77,71.44,913,1278,-0.25
11,Anders Albertson,68,67.71,780,1152,-0.24
12,Andres Gonzales,73,67.71,841,1242,-0.26
13,Andrew Landry,82806372,65.6367.1264.1163.89,945894727759,1440133211341188,-0.27-0.27-0.26-0.27
14,Andrew Loupe,55,59.83,560,936,-0.26
15,Andrew Putnam,97814695,70.4765.9463.7766.10,11299025281059,160213688281602,-0.24-0.32-0.25-0.26
16,Andrew Yun,51,61.85,501,810,-0.22
17,Anirban Lahiri,7282733568,63.4364.7062.9668.1064.62,822955782429791,1296147612426301224,-0.32-0.27-0.28-0.28-0.33
18,Arjun Atwal,35,66.49,371,558,-0.24
19,Austin Cook,107686478,66.5165.7168.2464.51,1281757737836,1926115210801296,-0.27-0.30-0.26-0.26
20,Beau Hossler,104877192,67.9567.0065.1765.34,127210017861035,1872149412061584,-0.29-0.30-0.29-0.28
21,Ben Crane,8665,65.6864.88,934689,14221062,-0.24-0.26
22,Ben Martin,86643854,66.6063.9867.1366.67,947737435600,14221152648900,-0.25-0.28-0.27-0.27
23,Ben Silverman,9070,64.9566.50,982814,15121224,-0.27-0.25
24,Ben Taylor,4456,68.9266.22,521596,756900,-0.24-0.26
25,Bill Haas,9276774650,67.9164.7964.6569.4465.78,1039863803550521,153013321242792792,-0.24-0.23-0.27-0.22-0.24
26,Billy Horschel,8886997997,67.8971.7567.6366.1766.47,1051105911209411029,15481476165614221548,-0.23-0.28-0.28-0.30-0.29
27,Billy Hurley III,8070,63.6163.02,916726,14401152,-0.26-0.25
28,Blayne Barber,7769,67.6169.98,864844,12781206,-0.27-0.26
