,PLAYER NAME,par5
0,Aaron Baddeley,4.664285714285714
1,Aaron Wise,4.585
2,Abraham Ancer,4.656000000000001
3,Adam Hadwin,4.661428571428572
4,Adam Long,4.66
5,Adam Schenk,4.6175
6,Adam Scott,4.604285714285714
7,Adam Svensson,4.61
8,Alex Cejka,4.678
9,Alex Noren,4.58
10,Alex Prugh,4.605
11,Anders Albertson,4.68
12,Andres Gonzales,4.673333333333334
13,Andres Romero,4.69
14,Andrew Landry,4.728
15,Andrew Loupe,4.6899999999999995
16,Andrew Putnam,4.6979999999999995
17,Andrew Svoboda,4.72
18,Andrew Yun,4.88
19,Anirban Lahiri,4.655
20,Arjun Atwal,4.68
21,Austin Cook,4.682500000000001
22,Beau Hossler,4.6499999999999995
23,Ben Crane,4.7225
24,Ben Martin,4.678333333333334
25,Ben Silverman,4.65
26,Ben Taylor,4.695
27,Bill Haas,4.622857142857143
28,Bill Lunde,4.75
29,Billy Horschel,4.644285714285715
30,Billy Hurley III,4.7299999999999995
31,Blayne Barber,4.665
32,Bo Hoag,4.625
33,Bo Van Pelt,4.723333333333334
34,Boo Weekley,4.626666666666666
35,Brad Fritsch,4.67
36,Brady Schnell,4.66
37,Branden Grace,4.675
38,Brandon Hagy,4.623333333333334
39,Brandon Harkins,4.615
40,Brandt Snedeker,4.640000000000001
41,Brendan Steele,4.642857142857144
42,Brendon Todd,4.6775
43,Brendon de Jonge,4.67
44,Brett Drewitt,4.84
45,Brett Stegmaier,4.676666666666667
46,Brian Campbell,4.76
47,Brian Davis,4.74
48,Brian Gay,4.6579999999999995
49,Brian Harman,4.631428571428572
50,Brian Stuard,4.722857142857143
51,Brice Garnett,4.66
52,Bronson Burgoon,4.63
53,Brooks Koepka,4.55
54,Bryce Molder,4.726666666666667
55,Bryson DeChambeau,4.536
56,Bubba Watson,4.5528571428571425
57,Bud Cauley,4.625
58,Byeong Hun An,4.680000000000001
59,Byron Smith,4.71
60,C.T. Pan,4.662
61,Cam Davis,4.57
62,Cameron Champ,4.62
63,Cameron Percy,4.616
64,Cameron Smith,4.624999999999999
65,Cameron Tringale,4.645714285714286
66,Camilo Villegas,4.692500000000001
67,Carl Pettersson,4.6899999999999995
68,Carlos Ortiz,4.62
69,Chad Campbell,4.64
70,Chad Collins,4.676666666666667
71,Charl Schwartzel,4.646
72,Charles Howell III,4.605714285714285
73,Charley Hoffman,4.631428571428571
74,Charlie Beljan,4.61
75,Chase Seiffert,4.65
76,Chase Wright,4.62
77,Chesson Hadley,4.675
78,Chez Reavie,4.692857142857142
79,Chris Baker,4.71
80,Chris Kirk,4.684
81,Chris Stroud,4.701666666666667
82,Cody Gribble,4.673333333333333
83,Collin Morikawa,4.535
84,Colt Knost,4.655
85,Conrad Shindler,4.59
86,Corey Conners,4.609999999999999
87,Curtis Luck,4.75
88,D.A. Points,4.734999999999999
89,D.H. Lee,4.72
90,D.J. Trahan,4.645
91,Daniel Berger,4.585714285714286
92,Daniel Summerhays,4.6725
93,Danny Lee,4.702857142857143
94,Danny Willett,4.656666666666666
95,David Hearn,4.6971428571428575
96,David Lingmerth,4.665
97,David Toms,4.765000000000001
98,Davis Love III,4.74
99,Dawie van der Walt,4.66
100,Denny McCarthy,4.6025
101,Derek Ernst,4.6850000000000005
102,Derek Fathauer,4.69
103,Dicky Pride,4.74
104,Doc Redman,4.705
