,RK,NAME,AGE,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS
0,1,Justin Thomas,29,23,82,21,10,3,69.1,311.8,58.4,68.8,1.714
1,2,Dustin Johnson,37,20,74,19,12,3,68.5,314.0,59.5,70.6,1.699
2,3,Justin Rose,41,18,66,17,11,2,69.0,303.5,66.0,69.9,1.732
3,4,Bryson DeChambeau,28,26,93,22,9,3,69.6,305.7,62.2,69.7,1.758
4,5,Brooks Koepka,32,17,62,16,6,2,69.4,313.4,56.8,68.3,1.747
5,6,Bubba Watson,43,24,79,19,6,3,70.1,313.1,58.3,68.2,1.773
6,7,Tony Finau,32,28,98,25,11,0,69.5,315.1,55.1,70.2,1.735
7,8,Tiger Woods,46,18,68,16,7,1,69.6,303.6,59.3,67.4,1.744
8,9,Webb Simpson,36,26,92,23,9,1,69.3,293.7,62.3,67.9,1.741
9,10,Jason Day,34,20,68,18,5,2,69.7,310.0,58.3,65.3,1.716
10,11,Francesco Molinari,39,20,70,17,5,2,69.9,301.0,65.0,70.2,1.780
11,12,Patrick Reed,31,26,86,20,7,1,70.2,298.1,55.1,63.6,1.746
12,13,Phil Mickelson,51,24,87,21,6,1,70.1,300.3,52.9,64.9,1.699
13,14,Rory McIlroy,33,18,61,14,7,1,69.5,319.7,55.8,66.3,1.736
14,15,Billy Horschel,35,27,82,17,6,1,69.8,295.4,67.8,71.7,1.757
15,16,Rickie Fowler,33,20,74,17,6,0,69.4,299.8,65.3,69.5,1.744
16,17,Keegan Bradley,35,27,93,23,5,1,70.2,299.6,67.9,69.2,1.784
17,18,Xander Schauffele,28,27,93,22,7,0,70.4,304.9,59.8,65.6,1.763
18,19,Jon Rahm,27,20,66,16,5,1,69.7,308.9,59.2,70.1,1.747
19,20,Patrick Cantlay,30,23,80,21,7,1,69.9,303.1,61.6,70.7,1.781
20,21,Tommy Fleetwood,31,19,66,18,6,0,69.5,306.9,65.0,69.4,1.745
21,22,Kyle Stanley,34,26,88,20,5,0,70.3,295.7,71.3,71.1,1.781
22,23,Marc Leishman,38,25,90,22,6,0,70.1,298.5,60.2,66.7,1.749
23,24,Paul Casey,44,20,71,17,5,1,70.0,304.3,63.1,67.8,1.775
24,25,Cameron Smith,28,24,78,18,7,0,70.4,298.4,57.0,63.2,1.745
25,26,Kevin Na,38,26,86,20,4,1,69.9,289.6,64.1,64.7,1.722
26,27,Patton Kizzire,36,29,89,18,4,2,70.4,298.7,55.6,69.0,1.764
27,28,Aaron Wise,25,29,88,16,4,1,70.1,302.9,63.3,68.8,1.748
28,29,Gary Woodland,37,27,91,21,3,1,70.2,313.5,63.7,70.5,1.794
29,30,Kevin Kisner,38,25,78,18,4,0,70.4,290.8,66.3,65.4,1.766
30,31,Pat Perez,46,23,75,19,4,1,70.6,290.9,65.1,67.8,1.765
31,32,Jordan Spieth,28,23,76,18,5,0,69.5,299.8,61.6,70.5,1.755
32,33,Chesson Hadley,34,30,99,23,7,0,70.1,300.0,60.1,67.7,1.740
33,34,Brian Harman,35,25,90,22,8,0,70.5,291.9,67.1,67.6,1.767
34,35,Ian Poulter,46,20,64,16,4,1,70.6,293.6,66.4,67.0,1.766
35,36,Luke List,37,29,95,20,5,0,70.3,314.6,54.7,68.4,1.794
