,PLAYER NAME,WINS,CUTS,TOP10,MISS CUTS,AGE,CUTS MADE-C,TOP10-C,WINS-C,EVNTS,RNDS,SCORE,DDIS,DACC,GIR,PUTTS
0,Aaron Baddeley,1.0,72.0,11.0,-50.0,41,3,0,0,122.0,380.0,35.34166666666667,120.7,23.366666666666664,26.516666666666666,0.7279166666666667
1,Aaron Wise,1.0,71.0,14.0,-45.0,25,12,3,0,116.0,364.0,69.94999999999999,254.08333333333331,50.11666666666667,57.916666666666664,1.4583333333333335
2,Abraham Ancer,1.0,97.0,25.0,-42.0,31,11,3,0,139.0,454.0,70.15,264.88,61.98,60.01,1.5717
3,Adam Hadwin,1.0,126.0,26.0,-42.0,34,13,4,0,168.0,575.0,70.2,269.60833333333335,59.05833333333332,62.05833333333334,1.6099166666666664
4,Adam Long,1.0,56.0,7.0,-47.0,34,13,0,0,103.0,315.0,70.43333333333334,291.1333333333333,64.28333333333333,65.06666666666666,1.7535
5,Adam Schenk,0.0,81.0,9.0,-35.0,30,10,3,0,116.0,423.0,70.71249999999999,302.825,57.474999999999994,65.725,1.7725
6,Adam Scott,3.0,101.0,31.0,-15.0,41,10,3,0,116.0,423.0,70.24166666666667,283.3833333333333,51.858333333333334,61.391666666666666,1.6033333333333333
7,Adam Svensson,0.0,23.0,2.0,1.0,28,12,2,0,22.0,133.0,70.35,291.25,63.8,68.4,1.782
8,Alex Cejka,0.0,60.0,7.0,-19.0,51,0,0,0,79.0,291.0,29.433333333333334,70.56666666666668,16.741666666666664,16.15,0.44683333333333336
9,Alex Noren,0.0,83.0,15.0,-8.0,39,12,2,0,91.0,359.0,70.17500000000001,249.61666666666667,49.24166666666667,55.016666666666666,1.4600833333333334
10,Andrew Landry,2.0,62.0,11.0,-63.0,34,2,2,0,125.0,332.0,35.39,115.8,26.7,26.07,0.7034
11,Andrew Putnam,1.0,74.0,14.0,-46.0,33,11,1,0,120.0,364.0,70.375,283.825,61.05,66.4375,1.7585
12,Anirban Lahiri,0.0,88.0,14.0,-42.0,35,10,2,0,130.0,451.0,70.775,271.0833333333333,55.65833333333333,59.08333333333333,1.6094166666666667
13,Arjun Atwal,0.0,12.0,0.0,-5.0,49,1,0,0,17.0,47.0,17.737499999999997,35.8125,8.3125,8.3125,0.22575
14,Austin Cook,1.0,64.0,6.0,-34.0,31,6,0,0,98.0,348.0,70.9875,287.98749999999995,67.7625,63.912499999999994,1.775
15,Beau Hossler,0.0,83.0,9.0,-22.0,27,9,2,0,105.0,417.0,70.94,275.61,47.94,58.09,1.5759
16,Ben Crane,0.0,51.0,4.0,-42.0,46,1,0,0,93.0,275.0,29.366666666666664,46.63333333333333,11.291666666666666,10.883333333333335,0.295
17,Ben Martin,0.0,64.0,6.0,-38.0,34,5,1,0,102.0,318.0,35.38000000000001,115.72999999999999,25.85,26.360000000000003,0.7079
18,Bernhard Langer,0.0,4.0,0.0,-2.0,64,0,0,0,6.0,16.0,21.630000000000003,0.0,0.0,0.0,0.0
19,Bill Haas,0.0,96.0,13.0,-44.0,40,15,0,0,140.0,472.0,70.65833333333333,271.81666666666666,52.53333333333333,59.81666666666667,1.64075
20,Billy Horschel,3.0,124.0,35.0,-38.0,35,11,4,0,162.0,540.0,70.1,270.94166666666666,60.608333333333334,62.224999999999994,1.6055833333333334
21,Bo Hoag,0.0,31.0,1.0,-33.0,33,2,0,0,64.0,154.0,35.2,146.35,31.775,34.925,0.89225
22,Bo Van Pelt,0.0,17.0,1.0,-20.0,47,1,0,0,37.0,115.0,36.025000000000006,146.225,30.05,32.525,0.9027499999999999
23,Branden Grace,2.0,92.0,19.0,-46.0,34,7,2,0,138.0,423.0,70.80833333333334,271.2416666666667,54.3,60.65833333333333,1.6395833333333334
24,Brandon Hagy,0.0,47.0,4.0,-32.0,31,8,0,0,79.0,283.0,64.01,251.81,38.980000000000004,50.56,1.424
25,Brandt Snedeker,2.0,106.0,24.0,-50.0,41,6,0,0,156.0,504.0,70.55000000000001,264.0,56.54166666666667,60.78333333333333,1.6194166666666667
26,Brendan Steele,2.0,107.0,17.0,-26.0,39,10,3,0,133.0,491.0,70.57499999999999,279.79166666666663,55.81666666666666,62.233333333333334,1.64725
27,Brendon Todd,2.0,59.0,9.0,-42.0,36,12,2,0,101.0,329.0,70.4375,208.3875,53.125,48.400000000000006,1.31375
28,Brett Drewitt,0.0,13.0,0.0,-21.0,31,5,0,0,34.0,93.0,71.55,290.65,58.2,64.9,1.8065
29,Brian Davis,0.0,8.0,0.0,-6.0,47,1,0,0,14.0,23.0,24.28333333333333,0.0,0.0,0.0,0.0
30,Brian Gay,1.0,82.0,15.0,-78.0,50,4,0,0,160.0,474.0,70.94166666666666,258.95,56.975,55.141666666666666,1.5821666666666667
31,Brian Harman,1.0,134.0,30.0,-49.0,35,13,3,0,183.0,618.0,70.10833333333332,265.5916666666667,61.30833333333334,60.33333333333333,1.615
32,Brian Stuard,1.0,114.0,14.0,-83.0,39,11,2,0,197.0,600.0,70.625,253.16666666666669,65.75833333333334,59.75833333333334,1.6133333333333333
33,Brice Garnett,1.0,79.0,10.0,-46.0,38,10,1,0,125.0,432.0,70.44,262.38,60.36,60.63,1.6026
34,Bronson Burgoon,0.0,62.0,5.0,-67.0,34,5,0,0,129.0,365.0,71.08,268.43,51.26,58.57000000000001,1.5948
35,Brooks Koepka,7.0,101.0,41.0,-29.0,32,8,2,0,130.0,433.0,70.06666666666666,284.76666666666665,50.53333333333333,60.0,1.6034166666666665
36,Bryson DeChambeau,8.0,96.0,35.0,-38.0,28,2,0,0,134.0,435.0,34.916666666666664,129.45000000000002,24.758333333333336,28.091666666666665,0.7284999999999999
37,Bubba Watson,4.0,98.0,26.0,-37.0,43,5,1,0,135.0,404.0,35.291666666666664,128.84166666666667,24.474999999999998,27.799999999999997,0.74575
38,C.T. Pan,1.0,90.0,11.0,-38.0,30,13,2,0,128.0,464.0,70.37,292.87,62.29,67.12,1.7717999999999998
39,Cam Davis,1.0,56.0,8.0,-8.0,27,10,3,0,64.0,282.0,69.9875,267.95,49.462500000000006,57.175,1.53725
40,Cameron Champ,3.0,49.0,9.0,-35.0,26,6,2,0,84.0,259.0,71.11666666666667,322.55,56.68333333333334,66.58333333333334,1.7854999999999999
41,Cameron Percy,0.0,61.0,8.0,-47.0,48,3,2,0,108.0,283.0,35.089999999999996,116.98000000000002,24.68,28.169999999999998,0.712
42,Cameron Smith,5.0,104.0,29.0,-47.0,28,8,5,2,151.0,485.0,69.56666666666666,273.175,52.71666666666667,61.7,1.5489166666666665
43,Cameron Tringale,0.0,101.0,15.0,-64.0,34,13,4,0,165.0,506.0,70.21666666666667,273.7583333333333,53.275,62.175,1.6049166666666665
44,Camilo Villegas,0.0,57.0,4.0,-53.0,40,8,0,0,110.0,278.0,62.125,218.25,43.35,49.0375,1.322
45,Carl Pettersson,0.0,12.0,0.0,-37.0,44,0,0,0,49.0,118.0,26.675,35.025,6.4875,7.2375,0.2185
46,Carlos Franco,0.0,1.0,0.0,1.0,57,0,0,0,0.0,6.0,18.05,0.0,0.0,0.0,0.0
47,Carlos Ortiz,1.0,65.0,10.0,-59.0,31,8,1,0,124.0,372.0,70.5625,265.6375,50.4625,57.6375,1.517
48,Charl Schwartzel,1.0,78.0,19.0,-46.0,37,6,2,0,124.0,381.0,71.33333333333334,225.68333333333334,41.69166666666667,46.31666666666667,1.3380833333333333
49,Charles Howell III,1.0,122.0,24.0,-35.0,42,8,1,0,157.0,545.0,70.0,277.2416666666667,55.16666666666667,63.61666666666666,1.6197499999999998
50,Charley Hoffman,1.0,118.0,16.0,-54.0,45,8,0,0,172.0,551.0,70.85,278.8833333333333,47.84166666666667,60.08333333333333,1.6080833333333333
51,Charlie Wi,0.0,5.0,0.0,-7.0,50,0,0,0,12.0,19.0,23.833333333333332,0.0,0.0,0.0,0.0
52,Chase Seiffert,0.0,31.0,2.0,-26.0,30,6,0,0,57.0,165.0,70.625,288.55,63.425,66.0,1.774
53,Chesson Hadley,0.0,83.0,11.0,-56.0,34,7,0,0,139.0,459.0,71.09166666666667,250.40833333333333,46.641666666666666,52.90833333333333,1.4721666666666666
54,Chez Reavie,1.0,121.0,19.0,-63.0,40,11,1,0,184.0,583.0,70.58333333333334,259.5,65.25833333333334,60.63333333333334,1.6286666666666667
55,Chris Couch,0.0,5.0,0.0,0.0,49,0,0,0,5.0,18.0,23.583333333333332,0.0,0.0,0.0,0.0
56,Chris Kirk,0.0,99.0,17.0,-30.0,37,11,3,0,129.0,497.0,70.00833333333333,222.69166666666666,48.24166666666667,50.233333333333334,1.3168333333333333
57,Chris Stroud,0.0,58.0,8.0,-51.0,40,2,0,0,109.0,320.0,35.440000000000005,115.33999999999999,24.559999999999995,25.669999999999998,0.7018000000000001
58,Collin Morikawa,5.0,58.0,24.0,-7.0,25,10,6,0,65.0,228.0,69.35,249.5,55.86666666666667,57.650000000000006,1.4468333333333332
59,Corey Conners,1.0,88.0,16.0,-35.0,30,12,2,0,123.0,410.0,70.025,299.8375,66.10000000000001,70.5375,1.778625
60,D.A. Points,1.0,36.0,2.0,-53.0,45,4,0,0,89.0,213.0,28.73,55.89000000000001,12.629999999999999,12.7,0.3557
61,D.J. Trahan,0.0,39.0,5.0,-44.0,41,3,0,0,83.0,187.0,28.26,58.95,12.17,13.38,0.35960000000000003
62,Daniel Berger,4.0,119.0,30.0,-26.0,29,8,2,0,145.0,499.0,69.99166666666667,271.825,60.475,60.06666666666666,1.6199166666666667
63,Daniel Chopra,0.0,6.0,0.0,0.0,48,0,0,0,6.0,30.0,23.98333333333333,0.0,0.0,0.0,0.0
64,Danny Lee,0.0,95.0,17.0,-85.0,31,6,2,0,180.0,518.0,70.69166666666666,273.0333333333333,51.900000000000006,58.65833333333333,1.5863333333333332
65,Danny Willett,1.0,49.0,8.0,-32.0,34,7,0,0,81.0,244.0,71.41,236.14,48.95,51.08,1.4226
66,David Hearn,0.0,74.0,9.0,-73.0,42,2,0,0,147.0,402.0,35.333333333333336,116.825,28.474999999999998,27.858333333333334,0.7374999999999999
67,David Lingmerth,0.0,65.0,3.0,-24.0,34,4,0,0,89.0,286.0,29.65833333333333,48.0,11.050000000000002,10.508333333333333,0.28991666666666666
68,David Lipsky,0.0,12.0,3.0,-11.0,33,11,3,0,23.0,68.0,71.65,147.1,32.4,33.85,0.873
69,Davis Love III,0.0,22.0,2.0,-32.0,58,1,0,0,54.0,132.0,23.849999999999998,0.0,0.0,0.0,0.0
70,Dawie van der Walt,0.0,15.0,0.0,-27.0,39,4,0,0,42.0,112.0,71.35,147.7,29.25,31.8,0.889
71,Denny McCarthy,0.0,81.0,12.0,-43.0,29,17,2,0,124.0,389.0,70.0,292.475,64.05,65.7125,1.749
72,Derek Ernst,0.0,17.0,0.0,-13.0,32,1,0,0,30.0,83.0,21.51,0.0,0.0,0.0,0.0
73,Doc Redman,0.0,42.0,6.0,-30.0,24,10,1,0,72.0,219.0,70.625,295.0,62.25,67.07499999999999,1.77
74,Doug Ghim,0.0,34.0,2.0,-12.0,26,11,1,0,46.0,184.0,70.475,295.025,64.525,67.8,1.78875
75,Dustin Johnson,15.0,110.0,60.0,-16.0,37,7,2,0,126.0,447.0,69.86666666666667,286.80833333333334,51.59166666666667,61.74166666666667,1.5824166666666666
76,Dylan Frittelli,1.0,59.0,8.0,-37.0,31,13,1,0,96.0,302.0,70.66666666666667,301.01666666666665,54.78333333333333,65.4,1.7768333333333333
77,Emiliano Grillo,1.0,125.0,20.0,-46.0,29,9,0,0,171.0,564.0,70.49166666666667,275.525,59.88333333333334,62.258333333333326,1.6145833333333335
78,Eric Axley,0.0,6.0,0.0,-8.0,48,0,0,0,14.0,15.0,17.825,0.0,0.0,0.0,0.0
79,Erik Compton,0.0,11.0,0.0,-15.0,42,0,0,0,26.0,64.0,17.7,0.0,0.0,0.0,0.0
80,Erik van Rooyen,1.0,25.0,6.0,-16.0,32,9,1,0,41.0,115.0,70.6,302.6,61.8,65.75,1.7469999999999999
81,Fabián Gómez,1.0,72.0,6.0,-51.0,43,1,0,0,123.0,394.0,35.36666666666667,119.90833333333335,26.86666666666667,27.466666666666665,0.7394166666666667
82,Francesco Molinari,3.0,80.0,20.0,-22.0,39,8,1,0,102.0,320.0,64.85,220.60833333333335,47.19166666666666,48.458333333333336,1.3185
83,Frank Lickliter,0.0,0.0,0.0,0.0,52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Fred Couples,0.0,2.0,0.0,0.0,62,0,0,0,2.0,14.0,21.74,0.0,0.0,0.0,0.0
85,Garrick Higgo,1.0,10.0,2.0,-13.0,23,6,1,0,23.0,40.0,36.0,151.2,27.6,31.3,0.8915
86,Gary Woodland,2.0,120.0,32.0,-42.0,38,8,4,0,162.0,539.0,70.33333333333333,284.4333333333333,52.16666666666667,61.69166666666667,1.6311666666666667
87,George McNeill,0.0,23.0,2.0,-40.0,46,0,0,0,63.0,105.0,21.27,0.0,0.0,0.0,0.0
88,Graeme McDowell,2.0,74.0,11.0,-50.0,42,7,0,0,124.0,336.0,64.85,236.9083333333333,54.225,54.016666666666666,1.4541666666666666
89,Grayson Murray,1.0,50.0,6.0,-43.0,28,2,0,0,93.0,284.0,35.790000000000006,123.47999999999999,21.71,25.3,0.7064
90,Greg Chalmers,0.0,30.0,1.0,-47.0,48,2,0,0,77.0,177.0,28.72,56.08,11.87,11.68,0.3504
91,Hank Lebioda,0.0,45.0,5.0,-43.0,28,8,0,0,88.0,253.0,70.63333333333333,292.6333333333333,61.733333333333334,65.93333333333334,1.7661666666666664
92,Harold Varner III,0.0,116.0,16.0,-63.0,31,11,3,0,179.0,574.0,70.18333333333334,278.46666666666664,52.56666666666666,60.625,1.5923333333333334
93,Harris English,2.0,109.0,21.0,-27.0,32,2,0,0,136.0,510.0,35.108333333333334,125.46666666666665,24.833333333333332,27.566666666666666,0.7322500000000001
94,Harry Higgs,0.0,40.0,5.0,-35.0,30,10,1,0,75.0,225.0,70.75,300.125,57.925,62.900000000000006,1.75475
95,Heath Slocum,0.0,3.0,0.0,-2.0,48,0,0,0,5.0,7.0,12.333333333333334,0.0,0.0,0.0,0.0
96,Henrik Norlander,0.0,55.0,8.0,-42.0,35,9,1,0,97.0,297.0,70.475,217.875,47.4375,51.025,1.3352499999999998
97,Henrik Stenson,2.0,58.0,15.0,-31.0,46,3,0,0,89.0,216.0,27.708333333333332,47.85,12.275,11.633333333333333,0.29833333333333334
98,Hideki Matsuyama,7.0,128.0,39.0,-23.0,30,13,5,2,151.0,529.0,69.5,279.15,56.00833333333334,63.5,1.5953333333333335
99,Hudson Swafford,3.0,93.0,11.0,-66.0,34,11,1,1,159.0,493.0,70.625,254.41666666666666,50.84166666666667,56.15833333333333,1.4722499999999998
